,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v16,v17,v18,v19,v20,v21,classlabel
949,v,g,52.5,t,6.29,b,t,0.0,0.00065,15,u,4.42,f,k,0.0,11202,g,1,f,t,1
950,v,g,39.92,t,0.04,b,t,200.0,0.000621,1,u,4.5,f,q,2000000.0,300,g,1,f,t,1
951,v,g,21.33,t,3.0,b,f,0.0,0.00105,0,u,3.91,t,c,0.0,0,g,1,f,t,1
952,v,g,35.75,t,0.75,a,t,0.0,9.15e-05,4,u,4.4,f,aa,0.0,1583,g,0,t,f,1
953,z,g,67.75,t,13.0,b,t,0.0,0.00055,1,u,4.46,t,e,0.0,0,g,0,t,f,1
954,h,g,32.67,t,5.25,b,f,154.0,0.0009,0,y,4.08,t,W,1540000.0,0,p,1,f,t,1
955,bb,g,49.5,t,7.585,b,t,0.0,0.0007585,15,u,3.47,t,i,0.0,5000,g,0,t,f,1
956,v,g,21.0,t,1.085,b,t,160.0,0.0003,8,y,4.39,t,d,1600000.0,1,p,0,t,f,1
957,v,g,28.25,t,0.96,b,t,396.0,8.75e-05,3,u,2.9,t,m,3960000.0,0,g,0,t,f,1
958,v,g,34.17,t,1.54,b,t,520.0,0.000154,1,u,2.94,t,cc,5200000.0,50000,g,0,t,f,1
959,h,g,31.92,t,6.04,b,t,311.0,0.000446,3,u,2.27,f,cc,3110000.0,300,g,1,f,t,1
960,v,g,29.5,t,0.54,a,t,380.0,4.6e-05,4,u,2.03,f,k,3800000.0,500,g,0,t,f,1
961,v,g,23.17,t,0.085,b,f,0.0,0.0,0,u,3.84,f,cc,0.0,0,g,1,f,t,1
962,ff,s,18.08,t,10.0,a,f,300.0,3.75e-05,0,l,3.24,t,cc,3000000.0,0,gg,0,f,f,1
963,h,g,24.75,t,1.835,a,t,0.0,0.0003,19,u,2.25,f,q,0.0,500,g,0,t,f,1
964,v,g,20.83,t,0.04,a,f,100.0,0.0003,0,u,3.75,f,aa,1000000.0,0,g,0,t,f,1
965,h,g,28.0,t,4.165,b,t,181.0,0.0002,2,u,3.12,t,k,1810000.0,0,g,1,f,t,1
966,v,g,20.42,t,2.25,b,t,100.0,0.0001835,1,u,2.6,f,c,1000000.0,150,g,1,f,t,1
967,h,g,28.67,t,5.665,b,t,381.0,0.0009335000000000001,6,u,3.02,f,q,3810000.0,168,g,0,t,f,1
968,v,g,21.92,t,0.04,b,t,840.0,5.4000000000000005e-05,1,y,3.06,t,x,8400000.0,59,p,1,f,t,1
969,h,g,43.25,t,6.0,b,t,80.0,0.0003,11,u,3.36,f,q,800000.0,0,g,0,t,f,1
970,v,g,20.42,t,1.625,b,t,200.0,0.0007,3,u,3.38,f,c,2000000.0,1391,g,1,f,t,1
971,h,g,42.0,t,5.125,b,f,400.0,2.05e-05,0,u,3.88,f,i,4000000.0,0,g,0,t,f,1
972,v,g,23.42,t,1.5,a,t,80.0,7.900000000000001e-05,2,y,3.2,t,q,800000.0,400,p,1,f,t,1
973,h,g,25.17,t,0.875,a,f,360.0,0.0002875,0,u,2.75,f,x,3600000.0,0,g,1,f,t,1
974,v,g,37.5,t,1.5,b,f,431.0,0.0001125,0,y,3.16,t,d,4310000.0,0,p,0,f,f,1
975,v,g,36.75,t,1.5,b,f,232.0,1.25e-05,0,y,3.85,t,c,2320000.0,113,p,0,f,f,1
976,bb,g,28.25,t,1.5,b,t,144.0,0.000504,8,y,2.82,t,c,1440000.0,7,p,0,t,f,1
977,h,g,32.75,t,5.5,b,t,0.0,0.00015,3,u,4.55,t,cc,0.0,0,g,0,t,f,1
978,h,g,17.83,t,1.0,a,t,0.0,0.0011,11,u,2.52,f,x,0.0,3000,g,0,t,f,1
979,h,g,22.83,t,2.29,a,t,140.0,0.000229,7,u,3.5,t,q,1400000.0,2384,g,1,f,t,1
980,v,g,13.75,t,1.75,b,t,120.0,0.0004,2,y,2.45,t,W,1200000.0,1000,p,0,t,f,1
981,h,g,41.0,t,0.125,a,t,455.0,0.000204,23,y,1.93,t,q,4550000.0,1236,p,1,f,t,1
982,h,g,23.08,t,2.125,b,t,290.0,0.00115,11,u,2.81,t,W,2900000.0,284,g,1,f,t,1
983,v,s,20.17,t,1.71,b,f,120.0,0.0005625,0,u,4.44,f,W,1200000.0,0,g,0,t,f,1
984,v,g,50.08,t,2.29,a,t,156.0,0.001254,3,u,3.17,t,aa,1560000.0,0,g,0,t,f,1
985,h,g,27.0,t,4.25,b,t,312.0,7.5e-05,3,u,2.96,t,c,3120000.0,150,g,0,t,f,1
986,v,g,38.17,t,2.5,b,t,520.0,0.0010125,6,u,4.56,f,x,5200000.0,196,g,1,f,t,1
987,v,g,27.0,t,0.375,b,f,260.0,0.00015,0,y,4.07,t,W,2600000.0,1065,p,0,t,f,1
988,h,g,41.17,t,7.0,b,t,320.0,0.000404,8,u,4.24,f,cc,3200000.0,0,g,1,f,t,1
989,ff,g,65.17,t,0.0,a,t,0.0,0.0014,11,u,3.99,t,ff,0.0,1400,g,1,f,t,1
990,v,g,23.25,t,2.375,b,t,0.0,0.00015,3,u,2.97,t,q,0.0,582,g,1,f,t,1
991,v,g,21.83,t,0.29,b,t,121.0,0.0011,6,u,3.75,f,x,1210000.0,0,g,1,f,t,1
992,v,g,26.0,t,1.75,b,f,280.0,0.0001,0,u,2.09,t,q,2800000.0,0,g,1,f,t,1
993,v,g,31.67,t,1.335,b,t,303.0,8.3e-05,8,u,3.28,t,x,3030000.0,3290,g,1,f,t,1
994,h,g,49.83,t,8.5,a,f,0.0,0.0013585000000000001,0,u,3.73,t,k,0.0,0,g,0,t,f,1
995,bb,g,47.42,t,6.5,a,t,375.0,0.0008,6,u,3.75,f,e,3750000.0,51100,g,0,t,f,1
996,bb,g,51.33,t,0.0,b,t,0.0,0.001,11,u,3.28,f,i,0.0,1249,g,0,t,f,1
997,v,g,18.92,t,0.75,a,t,88.0,0.0009,2,u,1.83,f,aa,880000.0,591,g,1,f,t,1
998,v,s,28.42,t,0.835,a,f,280.0,0.00035,0,u,3.66,f,W,2800000.0,0,g,1,f,t,1
999,v,g,56.75,t,1.25,b,t,200.0,0.001225,4,u,4.15,t,m,2000000.0,0,g,0,t,f,1
1000,bb,g,58.42,t,10.0,a,t,0.0,0.0021,13,u,4.69,f,i,0.0,6700,g,1,f,t,1
1001,v,s,48.33,t,16.0,b,f,110.0,0.0012,0,u,2.07,f,m,1100000.0,0,g,0,t,f,1
1002,v,g,33.17,t,0.75,b,t,340.0,0.0001,7,u,3.34,t,x,3400000.0,4071,g,0,t,f,1
1003,v,g,22.42,t,2.585,a,t,129.0,0.0005665000000000001,7,u,3.63,f,q,1290000.0,3257,g,0,t,f,1
1004,v,g,18.83,t,0.085,a,f,100.0,0.0009539999999999999,0,u,4.04,f,aa,1000000.0,0,g,1,f,t,1
1005,v,g,48.58,t,0.25,b,t,380.0,2.05e-05,11,y,3.29,f,k,3800000.0,2732,p,0,t,f,1
1006,h,g,26.75,t,1.25,b,f,0.0,0.0001125,0,u,3.49,f,x,0.0,5298,g,1,f,t,1
1007,h,g,64.08,t,17.5,b,t,0.0,0.002,9,u,3.78,t,x,0.0,1000,g,0,t,f,1
1008,v,g,20.17,t,1.665,b,t,40.0,0.000925,3,u,3.53,t,c,400000.0,28,g,1,f,t,1
1009,v,g,25.67,t,1.21,b,t,140.0,0.00125,67,u,0.32,t,cc,1400000.0,258,g,0,t,f,1
1010,h,g,22.67,t,1.335,b,f,100.0,0.00105,0,u,3.28,f,q,1000000.0,0,g,1,f,t,1
1011,v,g,31.33,t,7.0,b,t,0.0,0.00195,16,u,3.6,f,c,0.0,5000,g,0,t,f,1
1012,v,g,56.42,t,28.5,b,t,0.0,0.0028,40,y,4.24,f,c,0.0,15,p,1,f,t,1
1013,v,g,24.75,t,1.5,a,t,120.0,0.00125,12,u,2.49,t,aa,1200000.0,567,g,1,f,t,1
1014,h,g,24.08,t,1.25,a,t,0.0,5e-05,1,u,4.45,f,q,0.0,678,g,0,t,f,1
1015,v,g,28.33,t,11.0,b,f,70.0,0.0005,0,u,2.37,t,W,700000.0,0,g,1,f,t,1
1016,h,g,26.92,t,5.0,a,t,0.0,0.00135,2,u,4.71,f,q,0.0,5000,g,1,f,t,1
1017,v,g,27.67,t,5.75,b,f,487.0,0.001375,0,u,3.02,t,W,4870000.0,500,g,1,f,t,1
1018,v,g,38.67,t,0.085,b,f,280.0,2.1e-05,0,u,3.83,t,k,2800000.0,0,g,0,t,f,1
1019,v,g,32.17,t,1.085,a,t,120.0,0.000146,16,u,6.23,f,W,1200000.0,2079,g,0,t,f,1
1020,h,g,32.67,t,5.5,b,t,408.0,0.00055,12,u,3.35,t,q,4080000.0,1000,g,1,f,t,1
1021,h,g,48.75,t,12.5,b,t,181.0,0.00085,9,u,2.46,f,c,1810000.0,1655,g,0,t,f,1
1022,v,g,21.0,t,2.25,b,t,80.0,0.000479,1,y,4.07,t,W,800000.0,300,p,0,t,f,1
1023,h,g,48.17,t,15.5,b,t,0.0,0.0007625,12,u,4.36,f,W,0.0,790,g,1,f,t,1
1024,h,g,39.33,t,10.0,b,t,399.0,0.0005875,14,u,5.74,t,cc,3990000.0,0,g,0,t,f,1
1025,v,g,25.08,t,0.25,a,f,370.0,0.000254,0,y,4.82,t,aa,3700000.0,0,p,0,t,f,1
1026,bb,g,23.25,t,0.25,b,f,160.0,0.0004,0,u,2.56,t,c,1600000.0,0,g,0,t,f,1
1027,v,g,30.67,t,2.0,a,t,220.0,0.0012,1,u,3.62,f,c,2200000.0,19,g,1,f,t,1
1028,bb,s,19.17,t,0.0,b,f,500.0,0.0,0,y,3.75,t,m,5000000.0,1,p,1,f,f,1
1029,h,g,36.67,t,9.0,b,f,102.0,0.000325,0,u,1.83,t,q,1020000.0,639,g,1,f,t,1
1030,h,g,23.17,t,0.46,b,t,100.0,0.0011125,1,u,0.96,f,x,1000000.0,0,g,1,f,t,1
1031,h,g,15.83,t,1.5,a,t,100.0,5.85e-05,2,u,3.97,f,c,1000000.0,0,g,1,f,t,1
1032,v,g,16.08,t,1.75,b,t,352.0,7.5e-05,5,u,3.73,t,c,3520000.0,690,g,1,f,t,1
1033,bb,g,47.0,t,5.165,a,t,0.0,0.0013,9,u,4.18,t,i,0.0,0,g,0,t,f,1
1034,bb,s,21.25,t,0.5,a,t,80.0,0.00023349999999999998,4,u,3.31,f,i,800000.0,0,g,0,t,f,1
1035,z,g,65.42,t,20.0,b,t,22.0,0.0011,7,u,2.0,t,e,220000.0,0,g,1,f,t,1
1036,v,g,20.5,t,2.0,b,t,200.0,0.00024150000000000002,11,u,3.31,t,c,2000000.0,3000,g,1,f,t,1
1037,ff,g,55.92,t,5.0,b,t,0.0,0.00115,5,u,3.29,f,ff,0.0,8851,g,0,t,f,1
1038,v,g,34.92,t,0.0,b,f,239.0,0.00025,0,u,1.64,t,W,2390000.0,200,g,0,t,f,1
1039,bb,g,56.58,t,15.0,b,t,0.0,0.00185,17,u,3.98,t,d,0.0,0,g,1,f,t,1
1040,v,g,25.17,t,1.0,b,t,0.0,0.0006,3,u,1.67,f,c,0.0,0,g,1,f,t,1
1041,v,g,25.08,t,1.665,b,t,395.0,0.000171,1,u,3.85,t,x,3950000.0,20,g,0,t,f,1
1042,v,g,57.83,t,14.0,b,t,360.0,0.000704,6,u,3.53,t,m,3600000.0,1332,g,0,t,f,1
1043,h,g,34.92,t,7.5,b,t,0.0,0.0005,6,u,4.01,t,x,0.0,1000,g,0,t,f,1
1044,v,g,33.58,t,4.25,b,t,204.0,0.000275,6,u,3.5,f,m,2040000.0,0,g,1,f,t,1
1045,v,g,22.92,t,0.04,a,f,80.0,0.0011585,0,u,1.9,f,cc,800000.0,1349,g,0,t,f,1
1046,h,g,24.5,t,1.5,a,f,280.0,5e-05,0,u,4.07,f,q,2800000.0,824,g,0,t,f,1
1047,dd,g,20.25,t,0.0,b,f,0.0,0.0009960000000000001,0,u,4.21,f,e,0.0,0,g,0,t,f,1
1048,v,g,18.5,t,1.5,b,t,120.0,0.0002,2,u,2.63,f,i,1200000.0,300,g,1,f,t,1
1049,v,g,25.17,t,0.625,b,t,0.0,0.00035,7,u,1.46,f,cc,0.0,7059,g,1,f,t,1
1050,h,g,44.33,t,5.0,b,f,320.0,5e-05,0,u,3.67,t,i,3200000.0,0,g,0,t,f,1
1051,v,g,18.08,t,0.5,b,f,80.0,0.00055,0,u,5.79,f,k,800000.0,0,g,1,f,t,1
1052,v,g,60.58,t,11.0,a,f,21.0,0.00165,0,u,3.65,t,q,210000.0,10561,g,0,t,f,1
1053,bb,g,41.5,t,3.5,b,f,216.0,0.000154,0,u,2.34,f,i,2160000.0,0,g,0,f,f,1
1054,h,g,25.75,t,0.875,a,f,491.0,5e-05,0,u,0.86,t,c,4910000.0,0,g,0,t,f,1
1055,v,g,29.25,t,5.04,b,t,168.0,0.0014789999999999998,5,u,1.01,t,aa,1680000.0,0,g,0,t,f,1
1056,v,g,36.0,t,2.0,a,t,0.0,0.0001,11,u,4.42,f,c,0.0,456,g,0,t,f,1
1057,v,g,31.67,t,3.0,b,t,250.0,0.0016164999999999999,9,u,3.63,f,d,2500000.0,730,g,0,t,f,1
1058,ff,g,60.08,t,18.0,b,t,0.0,0.00145,15,u,2.13,t,ff,0.0,1000,g,0,t,f,1
1059,v,g,22.33,t,2.0,b,t,80.0,0.0011,1,u,4.53,f,W,800000.0,278,g,1,f,t,1
1060,bb,g,40.0,t,3.5,b,t,0.0,0.00065,1,u,4.73,f,aa,0.0,500,g,1,f,t,1
1061,h,g,35.17,t,1.625,b,t,515.0,0.0025125,1,u,4.26,t,x,5150000.0,500,g,1,f,t,1
1062,bb,g,41.33,t,15.0,b,f,0.0,0.0,0,u,3.84,f,c,0.0,0,g,0,t,f,1
1063,h,g,20.75,t,0.335,a,t,80.0,0.0010335000000000001,1,u,2.51,t,cc,800000.0,50,g,0,t,f,1
1064,v,g,32.08,t,2.5,b,f,360.0,0.0004,0,u,2.3,t,m,3600000.0,0,g,1,f,t,1
1065,h,g,23.92,t,1.875,b,t,200.0,0.00015,6,u,4.78,f,d,2000000.0,327,g,0,t,f,1
1066,v,g,23.25,t,3.17,a,t,120.0,0.0005875,10,u,4.79,f,q,1200000.0,245,g,1,f,t,1
1067,h,g,46.67,t,0.415,a,t,440.0,4.6e-05,11,u,4.34,t,cc,4400000.0,6,g,1,f,t,1
1068,h,g,25.0,t,3.5,a,t,400.0,0.001233,6,u,2.03,f,cc,4000000.0,458,g,1,f,t,1
1069,v,g,25.5,t,0.25,b,t,260.0,3.75e-05,3,u,2.78,f,m,2600000.0,15108,g,0,t,f,1
1070,v,g,23.5,t,8.5,a,t,120.0,0.0009,5,u,2.16,t,q,1200000.0,0,g,0,t,f,1
1071,v,g,34.17,t,4.5,b,t,0.0,0.000917,12,u,3.63,t,c,0.0,221,g,0,t,f,1
1072,v,g,27.83,t,3.75,b,t,100.0,0.000154,5,u,3.63,t,W,1000000.0,3,g,0,t,f,1
1073,v,g,36.75,t,5.0,a,f,0.0,0.0005125,0,u,2.39,t,e,0.0,4000,g,0,t,f,1
1074,h,g,47.25,t,2.75,a,t,333.0,7.5e-05,1,u,2.28,f,q,3330000.0,892,g,1,f,t,1
1075,v,g,33.67,t,0.375,a,f,300.0,3.75e-05,0,u,2.88,f,cc,3000000.0,44,g,1,f,f,1
1076,h,g,45.0,t,14.0,b,t,88.0,0.00085,1,u,3.51,t,cc,880000.0,2000,g,1,f,t,1
1077,h,g,33.17,t,6.5,b,f,164.0,0.00010400000000000001,0,u,1.35,t,r,1640000.0,31285,g,1,f,t,1
1078,h,g,25.0,t,1.04,a,f,160.0,8.75e-05,0,u,2.41,t,x,1600000.0,5860,g,1,f,t,1
1079,v,g,26.67,t,1.0,b,t,160.0,0.000175,5,y,2.43,t,c,1600000.0,5777,p,0,t,f,1
1080,v,g,48.5,t,0.125,b,f,225.0,0.000425,0,u,1.77,t,m,2250000.0,0,g,1,f,t,1
1081,v,g,37.42,t,0.04,b,f,400.0,0.000204,0,u,3.21,t,W,4000000.0,5800,g,0,t,f,1
1082,n,g,18.0,t,0.21,b,f,200.0,1.65e-05,0,u,3.48,f,q,2000000.0,40,g,1,f,f,1
1083,ff,g,56.5,t,0.0,a,t,0.0,0.0016,15,u,3.04,f,j,0.0,247,g,1,f,t,1
1084,v,g,25.75,t,1.46,b,t,312.0,5e-05,5,u,2.1,t,c,3120000.0,0,g,1,f,t,1
1085,v,g,22.58,t,0.415,a,t,0.0,0.001075,5,u,2.99,t,q,0.0,560,g,0,t,f,1
1086,h,g,33.17,t,2.04,b,t,180.0,0.000304,1,y,3.32,t,c,1800000.0,18027,p,1,f,t,1
1087,h,g,32.0,t,0.04,b,f,393.0,0.000175,0,y,2.19,t,e,3930000.0,0,p,0,t,f,1
1088,h,g,40.83,t,1.75,a,f,29.0,0.001,0,u,3.06,f,q,290000.0,837,g,1,f,t,1
1089,v,g,59.67,t,0.125,b,f,260.0,0.000154,0,u,3.78,t,q,2600000.0,0,g,0,t,f,1
1090,v,g,42.5,t,3.165,b,f,52.0,0.0004915,0,y,3.46,t,W,520000.0,1442,p,1,f,t,1
1091,z,g,28.08,t,0.0,a,f,0.0,0.0015,0,y,2.86,f,e,0.0,13212,p,1,f,t,1
1092,v,g,37.75,t,0.125,a,f,228.0,0.00055,0,u,2.66,t,q,2280000.0,0,g,0,t,f,1
1093,v,g,53.92,t,8.665,b,t,0.0,0.0009625,5,u,3.08,f,e,0.0,0,g,1,f,t,1
1094,bb,g,47.67,t,15.0,b,t,0.0,2.8999999999999997e-05,20,u,2.89,f,c,0.0,15000,g,0,t,f,1
1095,v,s,23.25,t,0.835,b,f,300.0,0.0001,0,u,3.18,f,c,3000000.0,0,g,1,f,t,1
1096,h,g,22.67,t,2.585,b,f,0.0,0.000254,0,y,2.28,f,c,0.0,0,p,1,f,t,1
1097,ff,g,54.58,t,14.415,b,t,30.0,0.0009415,11,u,3.87,t,ff,300000.0,300,g,1,f,t,1
1098,h,g,34.25,t,7.415,b,f,0.0,0.0003,0,u,3.25,t,cc,0.0,0,g,0,t,f,1
1099,v,g,27.58,t,2.0,b,t,370.0,0.000204,3,y,4.69,t,aa,3700000.0,560,p,1,f,t,1
1100,j,g,46.0,t,0.0,a,f,100.0,0.0004,0,u,6.07,f,j,1000000.0,960,g,1,f,t,1
1101,v,g,60.92,t,4.0,a,t,0.0,0.0005,4,u,2.92,f,aa,0.0,99,g,0,t,f,1
1102,v,g,47.42,t,13.875,a,t,519.0,0.0003,2,u,3.27,t,x,5190000.0,1704,g,1,f,t,1
1103,h,g,37.33,t,4.25,b,t,93.0,0.00065,12,u,3.55,t,m,930000.0,0,g,1,f,t,1
1104,v,g,20.42,t,1.585,a,t,0.0,8.35e-05,1,u,2.51,f,q,0.0,0,g,1,f,t,1
1105,v,g,44.17,t,7.375,a,t,0.0,0.0006665,3,u,3.0,t,q,0.0,0,g,1,f,t,1
1106,n,g,34.75,t,5.375,b,t,0.0,0.0015,9,u,4.02,t,r,0.0,134,g,1,f,t,1
1107,v,s,20.5,t,2.5,b,f,40.0,0.001,0,y,3.14,f,c,400000.0,0,p,0,t,f,1
1108,j,s,22.67,t,2.25,b,f,0.0,1.65e-05,0,u,2.31,t,c,0.0,0,g,0,f,f,1
1109,h,g,22.08,t,2.165,b,f,128.0,8.3e-05,0,u,4.0,t,c,1280000.0,0,g,0,f,f,1
1110,v,s,42.83,t,4.58,b,f,0.0,0.0004625,0,u,4.01,f,q,0.0,0,g,1,f,t,1
1111,v,g,18.92,t,1.0,a,t,80.0,0.000925,4,y,4.78,t,c,800000.0,500,p,1,f,t,1
1112,v,g,20.67,t,0.165,a,t,100.0,0.0003,3,u,3.17,f,q,1000000.0,6,g,1,f,t,1
1113,v,g,32.33,t,0.04,a,f,440.0,5.4000000000000005e-05,0,u,2.25,f,cc,4400000.0,11177,g,1,f,t,1
1114,h,g,28.92,t,5.335,b,t,0.0,0.0015,11,u,4.1,f,c,0.0,2283,g,0,t,f,1
1115,v,g,52.83,t,5.5,a,t,0.0,0.0015,14,u,3.79,f,c,0.0,2200,g,1,f,t,1
1116,v,g,20.67,t,2.085,a,t,220.0,0.0001835,5,u,2.54,f,q,2200000.0,2503,g,0,t,f,1
1117,bb,g,36.25,t,2.5,b,t,0.0,0.0005,6,u,3.46,f,c,0.0,367,g,1,f,t,1
1118,h,g,20.33,t,1.0,a,t,50.0,0.001,4,u,3.72,f,c,500000.0,1465,g,1,f,t,1
1119,bb,g,25.75,t,0.25,b,f,349.0,7.5e-05,0,u,2.9,f,c,3490000.0,23,g,0,t,f,1
1120,v,g,28.17,t,0.585,a,t,80.0,3.75e-05,4,u,5.19,f,q,800000.0,0,g,1,f,t,1
1121,v,g,23.92,t,0.165,b,f,100.0,6.65e-05,0,u,3.87,f,c,1000000.0,0,g,1,f,f,1
1122,h,g,56.0,t,8.0,b,f,24.0,0.00125,0,u,2.98,t,k,240000.0,2028,g,1,f,t,1
1123,v,g,20.75,t,0.71,a,t,49.0,0.001025,2,u,3.62,t,q,490000.0,0,g,1,f,t,1
1124,bb,g,30.5,t,4.0,a,t,0.0,0.00065,7,u,2.42,t,c,0.0,3065,g,0,t,f,1
1125,v,g,45.83,t,5.0,a,t,0.0,0.00105,7,u,4.09,t,q,0.0,0,g,0,t,f,1
1126,v,g,39.0,t,3.5,b,t,0.0,0.0005,10,u,4.11,t,cc,0.0,0,g,1,f,t,1
1127,v,g,22.08,t,0.665,b,f,100.0,0.0011,0,u,4.76,f,cc,1000000.0,0,g,0,t,f,1
1128,v,g,28.25,t,4.75,b,t,420.0,0.0005125,2,u,3.34,f,x,4200000.0,7,g,1,f,t,1
1129,h,g,18.83,t,3.0,a,f,240.0,0.0004415,0,y,4.37,f,c,2400000.0,0,p,1,f,t,1
1130,v,g,28.67,t,2.5,a,t,300.0,0.00010400000000000001,5,u,2.95,t,c,3000000.0,1430,g,0,t,f,1
1131,v,g,22.5,t,2.46,a,f,164.0,0.0008460000000000001,0,y,2.68,f,x,1640000.0,0,p,0,f,f,1
1132,h,g,28.5,t,2.54,a,t,70.0,0.000304,1,y,3.35,f,x,700000.0,0,p,0,t,f,1
1133,v,g,19.17,t,1.5,b,f,120.0,0.00095,0,u,3.01,f,W,1200000.0,2206,g,1,f,t,1
1134,v,g,21.5,t,2.5,a,t,80.0,0.0006,3,u,4.36,f,aa,800000.0,918,g,1,f,t,1
1135,o,p,17.5,t,0.0,b,f,450.0,0.0022,0,l,2.9,t,ff,4500000.0,100000,gg,1,f,f,1
1136,v,g,26.67,t,5.25,b,t,211.0,0.000271,1,y,3.34,f,cc,2110000.0,0,p,1,f,t,1
1137,bb,g,34.42,t,3.25,b,t,274.0,0.000425,2,u,3.3,f,i,2740000.0,610,g,1,f,t,1
1138,ff,g,73.42,t,0.0,b,f,0.0,0.001775,0,u,2.93,t,ff,0.0,0,g,0,t,f,1
1139,h,g,23.0,t,0.5,a,t,300.0,0.001175,2,u,1.45,t,x,3000000.0,551,g,1,f,t,1
1140,v,g,23.08,t,1.085,b,t,60.0,0.00025,11,u,4.98,t,c,600000.0,2184,g,0,t,f,1
1141,h,g,19.42,t,1.46,b,t,80.0,0.00065,7,u,2.8,f,W,800000.0,2954,g,1,f,t,1
1142,v,g,23.33,t,0.835,b,f,160.0,0.0011625,0,y,3.93,t,W,1600000.0,300,p,0,t,f,1
1143,h,g,42.17,t,12.75,b,f,92.0,0.000504,0,u,3.75,t,q,920000.0,0,g,1,f,t,1
1144,v,g,21.25,t,1.5,b,f,150.0,0.00015,0,u,2.62,f,W,1500000.0,8,g,1,f,f,1
1145,v,g,34.17,t,0.085,b,f,290.0,0.000525,0,u,3.46,t,W,2900000.0,6,g,1,f,f,1
1146,v,g,47.75,t,7.875,a,t,0.0,0.0008,6,u,1.5,t,c,0.0,1260,g,0,t,f,1
1147,v,g,44.33,t,2.5,a,f,0.0,0.0,0,u,3.49,f,c,0.0,0,g,1,f,t,1
1148,bb,g,39.5,t,6.5,b,t,117.0,0.000425,16,u,3.59,f,c,1170000.0,1210,g,0,t,f,1
1149,v,g,41.17,t,0.5,a,t,145.0,0.00065,3,u,3.89,t,q,1450000.0,0,g,0,t,f,1
1150,h,g,29.92,t,4.335,b,f,260.0,0.0001835,0,u,2.83,f,c,2600000.0,200,g,0,t,f,1
1151,v,g,35.17,t,4.5,b,t,150.0,0.00025,7,u,1.45,f,k,1500000.0,1270,g,0,t,f,1
1152,h,g,19.17,t,0.75,a,t,96.0,0.0008585000000000001,7,u,4.58,f,cc,960000.0,0,g,1,f,t,1
1153,v,g,52.5,t,6.29,b,t,0.0,0.00065,15,u,2.66,f,k,0.0,11202,g,1,f,t,1
1154,v,g,39.92,t,0.04,b,t,200.0,0.000621,1,u,3.11,f,q,2000000.0,300,g,0,t,f,1
1155,v,g,21.33,t,3.0,b,f,0.0,0.00105,0,u,3.9,t,c,0.0,0,g,0,t,f,1
1156,v,g,35.75,t,0.75,a,t,0.0,9.15e-05,4,u,3.0,f,aa,0.0,1583,g,0,t,f,1
1157,z,g,67.75,t,13.0,b,t,0.0,0.00055,1,u,2.23,t,e,0.0,0,g,1,f,t,1
1158,h,g,32.67,t,5.25,b,f,154.0,0.0009,0,y,2.0,t,W,1540000.0,0,p,1,f,t,1
1159,bb,g,49.5,t,7.585,b,t,0.0,0.0007585,15,u,5.4,t,i,0.0,5000,g,0,t,f,1
1160,v,g,21.0,t,1.085,b,t,160.0,0.0003,8,y,3.52,t,d,1600000.0,1,p,1,f,t,1
1161,v,g,28.25,t,0.96,b,t,396.0,8.75e-05,3,u,3.65,t,m,3960000.0,0,g,1,f,t,1
1162,v,g,34.17,t,1.54,b,t,520.0,0.000154,1,u,3.82,t,cc,5200000.0,50000,g,0,t,f,1
1163,h,g,31.92,t,6.04,b,t,311.0,0.000446,3,u,4.79,f,cc,3110000.0,300,g,1,f,t,1
1164,v,g,29.5,t,0.54,a,t,380.0,4.6e-05,4,u,1.31,f,k,3800000.0,500,g,0,t,f,1
1165,v,g,23.17,t,0.085,b,f,0.0,0.0,0,u,3.04,f,cc,0.0,0,g,1,f,t,1
1166,ff,s,18.08,t,10.0,a,f,300.0,3.75e-05,0,l,4.07,t,cc,3000000.0,0,gg,0,f,f,1
1167,h,g,24.75,t,1.835,a,t,0.0,0.0003,19,u,4.35,f,q,0.0,500,g,0,t,f,1
1168,v,g,20.83,t,0.04,a,f,100.0,0.0003,0,u,4.44,f,aa,1000000.0,0,g,0,t,f,1
1169,h,g,28.0,t,4.165,b,t,181.0,0.0002,2,u,1.8,t,k,1810000.0,0,g,0,t,f,1
1170,v,g,20.42,t,2.25,b,t,100.0,0.0001835,1,u,3.11,f,c,1000000.0,150,g,1,f,t,1
1171,h,g,28.67,t,5.665,b,t,381.0,0.0009335000000000001,6,u,2.93,f,q,3810000.0,168,g,0,t,f,1
1172,v,g,21.92,t,0.04,b,t,840.0,5.4000000000000005e-05,1,y,4.01,t,x,8400000.0,59,p,1,f,t,1
1173,h,g,43.25,t,6.0,b,t,80.0,0.0003,11,u,2.35,f,q,800000.0,0,g,0,t,f,1
1174,v,g,20.42,t,1.625,b,t,200.0,0.0007,3,u,2.67,f,c,2000000.0,1391,g,1,f,t,1
1175,h,g,42.0,t,5.125,b,f,400.0,2.05e-05,0,u,4.55,f,i,4000000.0,0,g,1,f,t,1
1176,v,g,23.42,t,1.5,a,t,80.0,7.900000000000001e-05,2,y,4.21,t,q,800000.0,400,p,0,t,f,1
1177,h,g,25.17,t,0.875,a,f,360.0,0.0002875,0,u,3.51,f,x,3600000.0,0,g,0,t,f,1
1178,v,g,37.5,t,1.5,b,f,431.0,0.0001125,0,y,3.61,t,d,4310000.0,0,p,1,f,f,1
